Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0012171,-0.0073486,0.087541,0,0,0,3.3778,0.012022,9.4559E-06,-9.2257E-05,0.014905,0.00080386,0.005398,0,0,0,0,0,0,package://griebot05022117/meshes/base_link.STL,0.53725,0.34902,0.33725,1,0,0,0,0,0,0,package://griebot05022117/meshes/base_link.STL,,Hip_connection-1;Motor_Lewansoul LX-16A Servo-6;Motor_Lewansoul LX-16A Servo-3;bodyreplace-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Rhip,-0.0015662,-0.0035452,0.018069,0,0,0,0.79106,0.00058107,3.1255E-05,-1.0617E-05,0.00052094,0.00013177,0.00040317,0,0,0,0,0,0,package://griebot05022117/meshes/Rhip.STL,0.89412,0.91373,0.92941,1,0,0,0,0,0,0,package://griebot05022117/meshes/Rhip.STL,,MirrorLeg_Hipjoint_-5;Motor_Lewansoul LX-16A Servo-4,Origin_Rhipjoint,Rhipaxis,Rhipjoint,revolute,0.058289,0.013792,-0.050716,1.6546,0.013805,0.0011592,base_link,0,0,-1,110,2,-3,3,,,,,,,,
Rthigh,-0.000302367218254565,-0.0627833596751284,-0.00175255894390427,0,0,0,0.712335276121288,0.000983959306971485,-4.25120946654166E-06,-3.616720193228E-07,0.000181029360807063,1.04990863006093E-05,0.00106202447529497,0,0,0,0,0,0,package://griebot05022117/meshes/Rthigh.STL,0.894117647058823,0.913725490196078,0.929411764705882,1,0,0,0,0,0,0,package://griebot05022117/meshes/Rthigh.STL,,Legs_Thigh-2;Motor_Lewansoul LX-16A Servo-5,Origin_Rthighjoint,Rthighaxis,Rthighjoint,revolute,-0.001,-0.035,-0.0005,0.037192,0,0,Rhip,-1,0,0,110,2,-3,3,,,,,,,,
Rshank,3.25949239821099E-10,-0.0634251787082965,0.00121806324800781,0,0,0,0.971159126419195,0.00143380464999894,7.75222745383954E-12,2.67658648348257E-11,0.000326466892537684,-1.21406347145082E-05,0.00160808166417937,0,0,0,0,0,0,package://griebot05022117/meshes/Rshank.STL,0.894117647058823,0.913725490196078,0.929411764705882,1,0,0,0,0,0,0,package://griebot05022117/meshes/Rshank.STL,,Leg_Shank-2,Origin_Rshankjoint,Rkneeaxis,Rshankjoint,revolute,0.0019,-0.14107,-0.0005,0.034967,0,0,Rthigh,1,0,0,110,2,-3,3,,,,,,,,
Rfeet,-5.23888605068051E-05,-0.0514905085699374,0.0322028329707553,0,0,0,1.24875214793965,0.00317691490621497,3.36872463948565E-06,-2.10664133937937E-06,0.0025047063260579,0.000755030566721405,0.00108653855364621,0,0,0,0,0,0,package://griebot05022117/meshes/Rfeet.STL,0.537254901960784,0.349019607843137,0.337254901960784,1,0,0,0,0,0,0,package://griebot05022117/meshes/Rfeet.STL,,Leg_FootClaw-2,Origin_Rfeetjoint,Rfeetaxis,Rfeetjoint,revolute,0.001,-0.135,0,-3.0694,0,3.1416,Rshank,-1,0,0,110,2,-3,3,,,,,,,,
Lhip,-0.0015662,-0.0035452,0.087541,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,package://griebot05022117/meshes/Lhip.STL,1,1,1,1,0,0,0,0,0,0,package://griebot05022117/meshes/Lhip.STL,,Leg_Hipjoint_-1;Motor_Lewansoul LX-16A Servo-2,Origin_Lhipjoint,Lhipaxis,Lhipjoint,revolute,-0.059699,0.014402,-0.049024,1.487,-0.013805,-3.1404,base_link,0,0,1,110,2,-3,3,,,,,,,,
Lthigh,-0.000320301621398539,-0.0627833596598404,-0.00172830605880608,0,0,0,0.712335275972869,0.000983959306948012,-4.25717499980427E-06,-3.61671998533483E-07,0.000181029360787908,1.04992660678205E-05,0.00106202447528358,0,0,0,0,0,0,package://griebot05022117/meshes/Lthigh.STL,0.894117647058823,0.913725490196078,0.929411764705882,1,0,0,0,0,0,0,package://griebot05022117/meshes/Lthigh.STL,,Legs_Thigh-1;Motor_Lewansoul LX-16A Servo-1,Origin_Lthighjoint,Lthighaxis,Lthighjoint,revolute,0.00025,-0.035,0.0005,-3.1044,0,-3.1416,Lhip,-1,0,0,110,2,-3,3,,,,,,,,
Lshank,3.2594920512663E-10,-0.0634251787082965,0.00121806324800778,0,0,0,0.971159126419196,0.00143380464999894,7.75222703410494E-12,2.6765864836308E-11,0.000326466892537684,-1.21406347145087E-05,0.00160808166417937,0,0,0,0,0,0,package://griebot05022117/meshes/Lshank.STL,0.894117647058823,0.913725490196078,0.929411764705882,1,0,0,0,0,0,0,package://griebot05022117/meshes/Lshank.STL,,Leg_Shank-1,Origin_Lshankjoint,Lkneeaxis,Lshankjoint,revolute,-0.0004,-0.14107,0,0.034967,0,0,Lthigh,1,0,0,110,2,-3,3,,,,,,,,
Lfeet,-5.23888605068329E-05,-0.0514905085699378,0.0322028329707553,0,0,0,1.24875214793965,0.00317691490621512,3.36872463948427E-06,-2.10664133937934E-06,0.00250470632605774,0.000755030566721414,0.00108653855364652,0,0,0,0,0,0,package://griebot05022117/meshes/Lfeet.STL,0.537254901960784,0.349019607843137,0.337254901960784,1,0,0,0,0,0,0,package://griebot05022117/meshes/Lfeet.STL,,Leg_FootClaw-1,Origin_Lfeetjoint,Lfeetaxis,Lfeetjoint,revolute,-0.001,-0.135,0,-3.0694,0,-3.1416,Lshank,-1,0,0,110,2,-3,3,,,,,,,,
