Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0012171,-0.0073486,0.087541,0,0,0,2,0.012022,9.4559E-06,-9.2257E-05,0.014905,0.00080386,0.005398,0,0,0,0,0,0,package://griebot0502/meshes/base_link.STL,0.53725,0.34902,0.33725,1,0,0,0,0,0,0,package://griebot0502/meshes/base_link.STL,,Hip_connection-1;Motor_Lewansoul LX-16A Servo-6;Motor_Lewansoul LX-16A Servo-3;bodyreplace-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Rhip,-0.0015662,-0.0035452,0.018069,0,0,0,0.79106,0.00058107,3.1255E-05,-1.0617E-05,0.00052094,0.00013177,0.00040317,0,0,0,0,0,0,package://griebot0502/meshes/Rhip.STL,0.89412,0.91373,0.92941,1,0,0,0,0,0,0,package://griebot0502/meshes/Rhip.STL,,MirrorLeg_Hipjoint_-5;Motor_Lewansoul LX-16A Servo-4,Origin_Rhipjoint,Rhipaxis,Rhipjoint,revolute,0.058289,0.013792,-0.050716,1.6546,0.013805,0.0011592,base_link,0,0,-1,110,2,-3,3,,,,,,,,
Rthigh,-0.00030237,-0.062783,-0.0017526,0,0,0,0.71234,0.00098396,-4.2512E-06,-3.6167E-07,0.00018103,1.0499E-05,0.001062,0,0,0,0,0,0,package://griebot0502/meshes/Rthigh.STL,0.89412,0.91373,0.92941,1,0,0,0,0,0,0,package://griebot0502/meshes/Rthigh.STL,,Legs_Thigh-2;Motor_Lewansoul LX-16A Servo-5,Origin_Rthighjoint,Rthighaxis,Rthighjoint,revolute,-0.001,-0.035,-0.0005,0.037192,0,0,Rhip,-1,0,0,110,2,-3,3,,,,,,,,
Rshank,3.2595E-10,-0.063425,0.0012181,0,0,0,0.97116,0.0014338,7.7522E-12,2.6766E-11,0.00032647,-1.2141E-05,0.0016081,0,0,0,0,0,0,package://griebot0502/meshes/Rshank.STL,0.89412,0.91373,0.92941,1,0,0,0,0,0,0,package://griebot0502/meshes/Rshank.STL,,Leg_Shank-2,Origin_Rshankjoint,Rkneeaxis,Rshankjoint,revolute,0.0019,-0.14107,-0.0005,0.034967,0,0,Rthigh,-1,0,0,110,2,-3,3,,,,,,,,
Rfeet,-5.2389E-05,-0.051491,0.032203,0,0,0,0.8,0.0031769,3.3687E-06,-2.1066E-06,0.0025047,0.00075503,0.0010865,0,0,0,0,0,0,package://griebot0502/meshes/Rfeet.STL,0.53725,0.34902,0.33725,1,0,0,0,0,0,0,package://griebot0502/meshes/Rfeet.STL,,Leg_FootClaw-2,Origin_Rfeetjoint,Rfeetaxis,Rfeetjoint,revolute,0.001,-0.135,0,-3.0694,0,3.1416,Rshank,-1,0,0,110,2,-3,3,,,,,,,,
Lhip,-0.0015118,-0.0035452,-0.018069,0,0,0,0.79106,0.00058107,3.1255E-05,1.0617E-05,0.00052094,-0.00013177,0.00040317,0,0,0,0,0,0,package://griebot0502/meshes/Lhip.STL,0.89412,0.91373,0.92941,1,0,0,0,0,0,0,package://griebot0502/meshes/Lhip.STL,,Leg_Hipjoint_-1;Motor_Lewansoul LX-16A Servo-2,Origin_Lhipjoint,Lhipaxis,Lhipjoint,revolute,-0.059699,0.014402,-0.049024,1.487,-0.013805,-3.1404,base_link,0,0,1,110,2,-3,3,,,,,,,,
Lthigh,-0.0003203,-0.062783,-0.0017283,0,0,0,0.71234,0.00098396,-4.2572E-06,-3.6167E-07,0.00018103,1.0499E-05,0.001062,0,0,0,0,0,0,package://griebot0502/meshes/Lthigh.STL,0.89412,0.91373,0.92941,1,0,0,0,0,0,0,package://griebot0502/meshes/Lthigh.STL,,Legs_Thigh-1;Motor_Lewansoul LX-16A Servo-1,Origin_Lthighjoint,Lthighaxis,Lthighjoint,revolute,0.00025,-0.035,0.0005,-3.1044,0,-3.1416,Lhip,-1,0,0,110,2,-3,3,,,,,,,,
Lshank,3.2595E-10,-0.063425,0.0012181,0,0,0,0.97116,0.0014338,7.7522E-12,2.6766E-11,0.00032647,-1.2141E-05,0.0016081,0,0,0,0,0,0,package://griebot0502/meshes/Lshank.STL,0.89412,0.91373,0.92941,1,0,0,0,0,0,0,package://griebot0502/meshes/Lshank.STL,,Leg_Shank-1,Origin_Lshankjoint,Lkneeaxis,Lshankjoint,revolute,-0.0004,-0.14107,0,0.034967,0,0,Lthigh,1,0,0,110,2,-3,3,,,,,,,,
Lfeet,-5.2389E-05,-0.051491,0.032203,0,0,0,0.8,0.0031769,3.3687E-06,-2.1066E-06,0.0025047,0.00075503,0.0010865,0,0,0,0,0,0,package://griebot0502/meshes/Lfeet.STL,0.53725,0.34902,0.33725,1,0,0,0,0,0,0,package://griebot0502/meshes/Lfeet.STL,,Leg_FootClaw-1,Origin_Lfeetjoint,Lfeetaxis,Lfeetjoint,revolute,-0.001,-0.135,0,-3.0694,0,-3.1416,Lshank,-1,0,0,110,2,-3,3,,,,,,,,
