Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.20863304193815,0.0692641832716312,0.0477667457964067,0,0,0,1.03430056883378,0.000426202931707901,-6.37572571128742E-08,7.59328755496436E-07,0.000441208001518973,-3.35829294154745E-06,0.000480922227947212,0,0,0,0,0,0,package://Grielegs/meshes/base_link.STL,0.537254901960784,0.349019607843137,0.337254901960784,1,0,0,0,0,0,0,package://Grielegs/meshes/base_link.STL,,Hip_connection-1;Motor_Lewansoul LX-16A Servo-6;Motor_Lewansoul LX-16A Servo-3,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Rhip,-0.00156619964153443,-0.00354518831498801,0.0180693540404457,0,0,0,0.791055479753895,0.00058106981703294,3.12546764390219E-05,-1.06166100466884E-05,0.000520936539769187,0.000131765521291055,0.000403166157033527,0,0,0,0,0,0,package://Grielegs/meshes/Rhip.STL,0.894117647058823,0.913725490196078,0.929411764705882,1,0,0,0,0,0,0,package://Grielegs/meshes/Rhip.STL,,MirrorLeg_Hipjoint_-5;Motor_Lewansoul LX-16A Servo-4,Origin_Rhipjoint,Rhipaxis,Rhipjoint,revolute,0.26723,0.08117,0.019436,1.6546,0.013805,0.0011592,base_link,0,0,-1,0,0,0,0,,,,,,,,
Rthigh,-0.000302367218254385,-0.0627833596751283,-0.00175255894390426,0,0,0,0.712335276121289,0.000983959306971487,-4.25120946653979E-06,-3.61672019322827E-07,0.000181029360807066,1.04990863006088E-05,0.00106202447529497,0,0,0,0,0,0,package://Grielegs/meshes/Rthigh.STL,0.894117647058823,0.913725490196078,0.929411764705882,1,0,0,0,0,0,0,package://Grielegs/meshes/Rthigh.STL,,Legs_Thigh-2;Motor_Lewansoul LX-16A Servo-5,Origin_Rthighjoint,Rthighaxis,Rthighjoint,revolute,-0.001,-0.035,-0.0005,0.037192,0,0,Rhip,-1,0,0,0,0,0,0,,,,,,,,
Rshank,3.25949156554373E-10,-0.0634251787082964,0.0012180632480078,0,0,0,0.971159126419194,0.00143380464999894,7.7522260319657E-12,2.67658647169822E-11,0.000326466892537684,-1.21406347145086E-05,0.00160808166417937,0,0,0,0,0,0,package://Grielegs/meshes/Rshank.STL,0.894117647058823,0.913725490196078,0.929411764705882,1,0,0,0,0,0,0,package://Grielegs/meshes/Rshank.STL,,Leg_Shank-2,Origin_Rshankjoint,Rkneeaxis,Rshankjoint,revolute,0.0019,-0.14107,-0.0005,0.034967,0,0,Rthigh,-1,0,0,0,0,0,0,,,,,,,,
Rfeet,-5.23888605068468E-05,-0.0514905085699374,0.0322028329707554,0,0,0,1.24875214793965,0.00317691490621487,3.36872463948788E-06,-2.10664133938005E-06,0.00250470632605789,0.000755030566721444,0.00108653855364612,0,0,0,0,0,0,package://Grielegs/meshes/Rfeet.STL,0.537254901960784,0.349019607843137,0.337254901960784,1,0,0,0,0,0,0,package://Grielegs/meshes/Rfeet.STL,,Leg_FootClaw-2,Origin_Rfeetjoint,Rfeetaxis,Rfeetjoint,revolute,0.001,-0.135,0,-3.0694,0,3.1416,Rshank,-1,0,0,0,0,0,0,,,,,,,,
Lhip,-0.00151181932509861,-0.00354518831403739,-0.0180692667421762,0,0,0,0.791055478745183,0.000581069816906898,3.12546765684049E-05,1.06166689786517E-05,0.000520936539760236,-0.000131765341798063,0.000403166157564119,0,0,0,0,0,0,package://Grielegs/meshes/Lhip.STL,0.894117647058823,0.913725490196078,0.929411764705882,1,0,0,0,0,0,0,package://Grielegs/meshes/Lhip.STL,,Leg_Hipjoint_-1;Motor_Lewansoul LX-16A Servo-2,Origin_Lhipjoint,Lhipaxis,Lhipjoint,revolute,0.149245088211636,0.0817810104475846,0.0211280236738303,1.48701953064696,-0.0138053758789537,-3.14043340733853,base_link,0,0,1,0,0,0,0,,,,,,,,
Lthigh,-0.000320301621398483,-0.0627833596598406,-0.00172830605880615,0,0,0,0.71233527597287,0.000983959306948011,-4.25717499980411E-06,-3.61671998533455E-07,0.000181029360787906,1.04992660678199E-05,0.00106202447528358,0,0,0,0,0,0,package://Grielegs/meshes/Lthigh.STL,0.894117647058823,0.913725490196078,0.929411764705882,1,0,0,0,0,0,0,package://Grielegs/meshes/Lthigh.STL,,Legs_Thigh-1;Motor_Lewansoul LX-16A Servo-1,Origin_Lthighjoint,Lthighaxis,Lthighjoint,revolute,0.00025,-0.035,0.0005,-3.1044,0,-3.1416,Lhip,-1,0,0,0,0,0,0,,,,,,,,
Lshank,3.25949184309948E-10,-0.0634251787082964,0.00121806324800777,0,0,0,0.971159126419197,0.00143380464999894,7.75222751735378E-12,2.67658650467957E-11,0.000326466892537684,-1.21406347145086E-05,0.00160808166417937,0,0,0,0,0,0,package://Grielegs/meshes/Lshank.STL,0.894117647058823,0.913725490196078,0.929411764705882,1,0,0,0,0,0,0,package://Grielegs/meshes/Lshank.STL,,Leg_Shank-1,Origin_Lshankjoint,Lkneeaxis,Lshankjoint,revolute,-0.0004,-0.14107,0,0.034967,0,0,Lthigh,1,0,0,0,0,0,0,,,,,,,,
Lfeet,-5.23888605066802E-05,-0.0514905085699376,0.0322028329707554,0,0,0,1.24875214793965,0.00317691490621505,3.36872463948583E-06,-2.10664133938029E-06,0.00250470632605772,0.000755030566721423,0.00108653855364647,0,0,0,0,0,0,package://Grielegs/meshes/Lfeet.STL,0.537254901960784,0.349019607843137,0.337254901960784,1,0,0,0,0,0,0,package://Grielegs/meshes/Lfeet.STL,,Leg_FootClaw-1,Origin_Lfeetjoint,Lfeetaxis,Lfeetjoint,revolute,-0.00100000000000003,-0.135,0,-3.06943379657217,0,-3.14159265358979,Lshank,-1,0,0,0,0,0,0,,,,,,,,
